Data,Hora,Data Valor,Produto,ISIN,Descrição,T.,Mudança,,Saldo,,ID da Ordem
28-03-2023,16:29,28-03-2023,MEITUAN,KYG596691041,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-4.90,EUR,-21532.93,70f62b26-3cd7-4368-9edb-f6033061724f
28-03-2023,16:29,28-03-2023,MEITUAN,KYG596691041,"Venda 8 Meituan@15,98 EUR (KYG596691041)",,EUR,127.84,EUR,-21528.03,70f62b26-3cd7-4368-9edb-f6033061724f
27-03-2023,07:26,27-03-2023,MEITUAN - NON TRADEABLE,KYG596691041,"MUDANÇA DE PRODUTO: Venda 8 Meituan - Non tradeable@16,85 EUR (KYG596691041)",,EUR,134.80,EUR,-21655.87,
27-03-2023,07:26,27-03-2023,MEITUAN,KYG596691041,"MUDANÇA DE PRODUTO: Compra 8 Meituan@16,85 EUR (KYG596691041)",,EUR,-134.80,EUR,-21790.67,
17-03-2023,16:24,17-03-2023,,,DEGIRO courtesy,,EUR,2.50,EUR,-21655.87,
01-03-2023,17:33,28-02-2023,,,Juros,,EUR,-82.22,EUR,-21658.37,
01-03-2023,15:06,28-02-2023,,,Custo de Conectividade DEGIRO 2023 (Tradegate AG - TDG),,EUR,-2.50,EUR,-21576.15,
23-02-2023,06:43,23-02-2023,ADR ON ALIBABA GROUP HOLDING,US01609W1027,"MUDANÇA DE PRODUTO: Compra 58 ADR on Alibaba Group Holding@108,8069 EUR (US01609W1027)",,EUR,0.00,EUR,-21573.65,
23-02-2023,06:20,23-02-2023,TENCENT HOLDINGS LTD,KYG875721634,"MUDANÇA DE PRODUTO: Compra 80 Tencent Holdings Ltd@49,8046 EUR (KYG875721634)",,EUR,0.00,EUR,-21573.65,
23-02-2023,04:09,23-02-2023,ALIBABA GROUP HOLDING LTD,US01609W1027,"MUDANÇA DE PRODUTO: Venda 58 Alibaba Group Holding Ltd@108,8069 EUR (US01609W1027)",,EUR,0.00,EUR,-21573.65,
23-02-2023,03:46,23-02-2023,TENCENT HOLDINGS LTD,KYG875721634,"MUDANÇA DE PRODUTO: Venda 80 Tencent Holdings Ltd@49,8046 EUR (KYG875721634)",,EUR,0.00,EUR,-21573.65,
