Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
02-12-2021,10:13,"TENCENT HLDGS   HD-,00002",KYG875721634,FRA,FRAB,20,53.2000,EUR,-1064.00,EUR,-1064.00,EUR,,-8.46,EUR,-1072.46,EUR,61efffaf-d932-4b94-b46e-fea998888650
01-12-2021,17:11,ABBVIE INC. COMMON STO,US00287Y1091,NSY,MEMX,-5,118.4600,USD,592.30,USD,522.86,EUR,1.1328,,EUR,522.86,EUR,32eda07e-163c-4679-8203-2cc3be7c8d76
01-12-2021,17:11,ALIBABA GR.HLDG SP.ADR 8,US01609W1027,FRA,FRAB,40,112.7000,EUR,-4508.00,EUR,-4508.00,EUR,,-11.56,EUR,-4519.56,EUR,2ace4c71-16de-4ffe-ba20-66139bb2940d
01-12-2021,17:10,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,EDGX,-40,127.6600,USD,5106.40,USD,4506.98,EUR,1.1330,,EUR,4506.98,EUR,52794c97-27b9-41eb-bda0-979b1474b4f4
26-11-2021,10:53,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,9,77.0000,EUR,-693.00,EUR,-693.00,EUR,,,EUR,-693.00,EUR,e5bcf6e0-cf35-4581-8623-9c3f4b4be2c0
10-11-2021,11:30,COL P46.00 17DEC21,BEEN00751907,LFF,XBRD,1,2.5000,EUR,-250.00,EUR,-250.00,EUR,,-0.85,EUR,-250.85,EUR,7437fdf6-c103-4e1e-988a-91ae2335c977
09-11-2021,17:03,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,4,76.9500,EUR,-307.80,EUR,-307.80,EUR,,,EUR,-307.80,EUR,51b15fef-65ca-4285-958d-35d8daa4f2bf
28-10-2021,11:01,FLOWTRADERS,NL0011279492,EAM,XAMS,35,31.2200,EUR,-1092.70,EUR,-1092.70,EUR,,-4.55,EUR,-1097.25,EUR,e464df8e-72d2-47a1-815e-56f7d90214b3
01-10-2021,11:50,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,6,71.0600,EUR,-426.36,EUR,-426.36,EUR,,,EUR,-426.36,EUR,5ae511cc-a7ba-4364-bf47-441f5bd19a3c
30-09-2021,13:28,COL P46.00 17DEC21,BEEN00751907,LFF,XBRD,-1,3.3500,EUR,335.00,EUR,335.00,EUR,,-0.85,EUR,334.15,EUR,c7c30c49-704e-45db-9750-d4a32d17e506
